Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
128,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
129,9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7
130,10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7
131,9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6
132,6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6
133,7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6
134,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6
135,9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6
136,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
137,7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5
138,8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,4
139,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
140,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3
141,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5
142,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6
143,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
144,10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6
145,9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
146,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5
147,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6
148,12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6
149,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
150,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5
151,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
152,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5
153,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
154,8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7
155,9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5
156,8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7
157,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
158,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6
159,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4
160,7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6
161,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
162,9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5
163,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
164,6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6
165,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
166,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
167,7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
168,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5
169,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5
170,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5
171,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6
172,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
173,7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6
174,9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
175,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6
176,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
177,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4
178,7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5
179,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5
180,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
181,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
182,10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5
183,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5
184,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5
185,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5
186,7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,7
187,9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5
188,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6
189,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5
190,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
191,6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5
192,10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7
193,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
194,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
195,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
196,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
197,7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6
198,7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6
199,8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5
200,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
201,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6
202,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5
203,8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
204,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6
205,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6
206,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
207,9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5
208,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
209,8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7
210,7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7
211,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6
212,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
213,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
214,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
215,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5
216,6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5
217,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
218,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
219,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
220,7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,5
221,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
222,6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6
223,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
224,13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
225,8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4
226,10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6
227,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
228,9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6
229,8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,6
230,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
231,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
232,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
233,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6
234,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
235,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
236,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6
237,11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6
238,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
239,10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7
240,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
241,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6
242,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
243,7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5
244,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
245,6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7
246,9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5
247,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5
248,6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5
249,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5
250,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7
251,12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6
252,9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7
253,7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5
254,8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6
255,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
256,5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6
257,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
258,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
259,8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,6
260,12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6
261,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
262,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
263,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5
264,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
265,7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
266,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
267,11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
268,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
269,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
270,9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7
271,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5
272,8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,5
273,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
274,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
275,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5
276,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
277,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
278,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
279,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7
280,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
281,6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3
282,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
283,6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
284,9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
285,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
286,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6
287,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
288,9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7
289,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
290,9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
291,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
292,8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4
293,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5
294,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
295,7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5
296,6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5
297,8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5
298,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5
299,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7
300,7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5
301,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
302,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
303,9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7
304,10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,7
305,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5
306,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
307,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
308,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
309,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5
310,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6
311,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
312,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
313,8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6
314,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5
315,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6
